,date,time,open,high,low,close,tickvol,vol,spread,label,exit_index
269,9/01/2020,8:30:00 PM,1.11071,1.11082,1.11046,1.1105,693,0,2,1,359.0
270,9/01/2020,9:00:00 PM,1.1105,1.11097,1.11049,1.11088,335,0,1,1,360.0
271,9/01/2020,9:30:00 PM,1.11087,1.11094,1.11058,1.11059,337,0,2,1,360.0
272,9/01/2020,10:00:00 PM,1.11059,1.11073,1.11049,1.11054,420,0,2,1,360.0
273,9/01/2020,10:30:00 PM,1.11054,1.11065,1.11038,1.11062,409,0,1,1,360.0
274,9/01/2020,11:00:00 PM,1.11062,1.11068,1.11033,1.11037,212,0,1,1,359.0
275,9/01/2020,11:30:00 PM,1.11037,1.11069,1.11037,1.11051,292,0,2,1,359.0
276,10/01/2020,12:00:00 AM,1.11051,1.11064,1.11017,1.11049,368,0,4,1,360.0
277,10/01/2020,12:30:00 AM,1.11049,1.11065,1.11038,1.11064,164,0,5,1,360.0
278,10/01/2020,1:00:00 AM,1.11064,1.11076,1.11064,1.1107,194,0,1,1,360.0
279,10/01/2020,1:30:00 AM,1.11069,1.11092,1.11062,1.11092,206,0,2,1,360.0
280,10/01/2020,2:00:00 AM,1.11092,1.11093,1.11066,1.11069,307,0,1,1,360.0
281,10/01/2020,2:30:00 AM,1.11069,1.11091,1.11061,1.1107,558,0,1,1,360.0
282,10/01/2020,3:00:00 AM,1.1107,1.11071,1.11055,1.11062,312,0,3,1,360.0
283,10/01/2020,3:30:00 AM,1.11062,1.11072,1.11021,1.11041,339,0,2,1,359.0
284,10/01/2020,4:00:00 AM,1.11041,1.11052,1.11035,1.11042,397,0,1,1,359.0
285,10/01/2020,4:30:00 AM,1.11042,1.11082,1.11035,1.11079,245,0,2,1,360.0
286,10/01/2020,5:00:00 AM,1.11079,1.11086,1.11071,1.11071,208,0,2,1,360.0
287,10/01/2020,5:30:00 AM,1.11071,1.11082,1.1107,1.11081,214,0,3,1,360.0
288,10/01/2020,6:00:00 AM,1.11081,1.11089,1.11064,1.11085,290,0,2,1,360.0
289,10/01/2020,6:30:00 AM,1.11085,1.1111,1.1107,1.11074,166,0,1,1,360.0
290,10/01/2020,7:00:00 AM,1.11074,1.1109,1.11071,1.1109,218,0,1,1,360.0
