time,open,high,low,close,bid,ask,signal,action,position,P/L,Total profit
2022-05-16 18:30:00+00:00,1.29084,1.29141,1.28943,1.28944,1.29084,1.2909,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 18:45:00+00:00,1.28949,1.28974,1.28786,1.28817,1.28949,1.28949,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 19:00:00+00:00,1.28813,1.28854,1.28759,1.28845,1.28813,1.28816,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 19:15:00+00:00,1.28844,1.2887,1.2882,1.2884,1.28844,1.28848,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 19:30:00+00:00,1.28841,1.28868,1.28763,1.28857,1.28841,1.28841,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 19:45:00+00:00,1.28858,1.28866,1.28811,1.28838,1.28858,1.2886,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 20:00:00+00:00,1.2884,1.28847,1.28712,1.28735,1.2884,1.2884,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 20:15:00+00:00,1.28734,1.28804,1.28685,1.28707,1.28734,1.28737,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 20:30:00+00:00,1.28707,1.28712,1.28631,1.28638,1.28707,1.28708,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 20:45:00+00:00,1.28638,1.28682,1.28604,1.28623,1.28638,1.28641,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 21:00:00+00:00,1.28623,1.28672,1.28596,1.28625,1.28623,1.28624,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 21:15:00+00:00,1.28626,1.2863,1.2849,1.28523,1.28626,1.28628,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 21:30:00+00:00,1.28521,1.28533,1.28406,1.28451,1.28521,1.28523,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 21:45:00+00:00,1.28451,1.28487,1.28376,1.28394,1.28451,1.28455,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 22:00:00+00:00,1.28398,1.2847,1.28369,1.28468,1.28398,1.28401,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 22:15:00+00:00,1.28466,1.28495,1.28383,1.28385,1.28466,1.28467,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 22:30:00+00:00,1.28386,1.28481,1.28363,1.28459,1.28386,1.28386,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 22:45:00+00:00,1.2846,1.28517,1.28369,1.28466,1.2846,1.28462,1.0,buy,1.0,0.0,0.2660299999999992
2022-05-16 23:00:00+00:00,1.28465,1.28534,1.2846,1.28528,1.28465,1.2847,0.0,hold,1.0,2.999999999997449e-05,0.2660299999999992
2022-05-16 23:15:00+00:00,1.28529,1.28586,1.28522,1.28569,1.28529,1.28534,0.0,hold,1.0,0.0006699999999999484,0.2660299999999992
2022-05-16 23:30:00+00:00,1.28567,1.28567,1.28528,1.28528,1.28567,1.28571,0.0,hold,1.0,0.0010499999999999954,0.2660299999999992
2022-05-16 23:45:00+00:00,1.28528,1.28544,1.28465,1.28468,1.28528,1.28528,0.0,hold,1.0,0.0006599999999998829,0.2660299999999992
2022-05-17 00:00:00+00:00,1.28399,1.28481,1.28386,1.28462,1.28399,1.28506,-1.0,close long,0.0,-0.0008300000000001304,0.2651999999999991
2022-05-17 00:15:00+00:00,1.28462,1.28496,1.28453,1.28494,1.28462,1.28513,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 00:30:00+00:00,1.28493,1.28505,1.28484,1.28484,1.28493,1.28519,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 00:45:00+00:00,1.28484,1.28528,1.28483,1.285,1.28484,1.28526,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 01:00:00+00:00,1.28491,1.28535,1.28468,1.28529,1.28491,1.2853,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 01:15:00+00:00,1.28529,1.28535,1.28514,1.28516,1.28529,1.28538,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 01:30:00+00:00,1.28511,1.28514,1.28495,1.28511,1.28511,1.28516,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 01:45:00+00:00,1.28512,1.28524,1.28481,1.28481,1.28512,1.28516,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 02:00:00+00:00,1.28482,1.28508,1.28467,1.28492,1.28482,1.28489,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 02:15:00+00:00,1.28492,1.28511,1.28482,1.28498,1.28492,1.28495,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 02:30:00+00:00,1.28499,1.28528,1.28498,1.28506,1.28499,1.28504,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 02:45:00+00:00,1.28505,1.28519,1.28478,1.28502,1.28505,1.28511,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 03:00:00+00:00,1.28501,1.28501,1.28409,1.28444,1.28501,1.28504,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 03:15:00+00:00,1.28443,1.28464,1.28279,1.28287,1.28443,1.28448,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 03:30:00+00:00,1.28287,1.28357,1.28287,1.28343,1.28287,1.2829,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 03:45:00+00:00,1.28343,1.28376,1.28308,1.28351,1.28343,1.28348,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 04:00:00+00:00,1.28355,1.28436,1.28345,1.28353,1.28355,1.28361,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 04:15:00+00:00,1.28352,1.28392,1.28339,1.2838,1.28352,1.28358,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 04:30:00+00:00,1.2838,1.28421,1.28257,1.28299,1.2838,1.28386,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 04:45:00+00:00,1.28297,1.28297,1.28189,1.28205,1.28297,1.28301,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 05:00:00+00:00,1.28206,1.28318,1.28203,1.28315,1.28206,1.28213,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 05:15:00+00:00,1.28317,1.28373,1.28306,1.2832,1.28317,1.2832,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 05:30:00+00:00,1.28319,1.2835,1.28294,1.2835,1.28319,1.28324,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 05:45:00+00:00,1.28352,1.28391,1.28341,1.28351,1.28352,1.28352,0.0,hold,0.0,0.0,0.2651999999999991
2022-05-17 06:00:00+00:00,1.2835,1.28394,1.28337,1.28364,1.2835,1.28353,1.0,buy,1.0,0.0,0.2651999999999991
2022-05-17 06:15:00+00:00,1.28365,1.28398,1.28334,1.28361,1.28365,1.28369,0.0,hold,1.0,0.00011999999999989797,0.2651999999999991
2022-05-17 06:30:00+00:00,1.28361,1.28375,1.28354,1.28358,1.28361,1.28363,0.0,hold,1.0,7.999999999985796e-05,0.2651999999999991
2022-05-17 06:45:00+00:00,1.28358,1.28363,1.28336,1.28362,1.28358,1.2836,0.0,hold,1.0,4.999999999988347e-05,0.2651999999999991
2022-05-17 07:00:00+00:00,1.28357,1.28394,1.28338,1.28378,1.28357,1.2836,0.0,hold,1.0,4.0000000000040004e-05,0.2651999999999991
2022-05-17 07:15:00+00:00,1.28379,1.28385,1.28346,1.28381,1.28379,1.28384,0.0,hold,1.0,0.00025999999999992696,0.2651999999999991
2022-05-17 07:30:00+00:00,1.28382,1.28386,1.28343,1.28354,1.28382,1.28387,0.0,hold,1.0,0.00028999999999990145,0.2651999999999991
2022-05-17 07:45:00+00:00,1.28353,1.28368,1.2829,1.2829,1.28353,1.28356,0.0,hold,1.0,0.0,0.2651999999999991
2022-05-17 08:00:00+00:00,1.28289,1.28295,1.28241,1.28271,1.28289,1.28295,-1.0,close long,0.0,-0.0008399999999999739,0.26435999999999915
2022-05-17 08:15:00+00:00,1.28269,1.28295,1.28231,1.2829,1.28269,1.28276,0.0,hold,0.0,0.0,0.26435999999999915
2022-05-17 08:30:00+00:00,1.2829,1.2831,1.28264,1.2828,1.2829,1.28296,0.0,hold,0.0,0.0,0.26435999999999915
2022-05-17 08:45:00+00:00,1.2828,1.2828,1.28185,1.28199,1.2828,1.28281,0.0,hold,0.0,0.0,0.26435999999999915
2022-05-17 09:00:00+00:00,1.28196,1.28244,1.2813,1.28195,1.28196,1.282,0.0,hold,0.0,0.0,0.26435999999999915
2022-05-17 09:15:00+00:00,1.28194,1.28264,1.28168,1.28191,1.28194,1.28201,0.0,hold,0.0,0.0,0.26435999999999915
2022-05-17 09:30:00+00:00,1.28188,1.28209,1.28141,1.28166,1.28188,1.28192,0.0,hold,0.0,0.0,0.26435999999999915
2022-05-17 09:45:00+00:00,1.28164,1.28272,1.28164,1.28242,1.28164,1.28172,0.0,hold,0.0,0.0,0.26435999999999915
2022-05-17 10:00:00+00:00,1.28242,1.28302,1.2823,1.28259,1.28242,1.28245,0.0,hold,0.0,0.0,0.26435999999999915
